sample_id,overlap_level,pipeline,manual_readability_1_to_5,failure_type,observation,hallucination_risk
new_no_overlap,none,direct_asr,,,,
new_light_overlap,light,direct_asr,,,,
new_mid_overlap,medium,direct_asr,,,,
new_heavy_overlap,heavy,direct_asr,,,,
new_opposite_overlap,opposite,direct_asr,,,,
xutong_no_overlap,none,direct_asr,,,,
xutong_light_overlap,light,direct_asr,,,,
xutong_mid_overlap,medium,direct_asr,,,,
xutong_heavy_overlap,heavy,direct_asr,,,,
xutong_opposite_overlap,opposite,direct_asr,,,,
