sample_id,audio_path,overlap_level,pipeline,model,segment_index,start,end,speaker,text
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,1,0.0,5.16,SPEAKER_00,"关于这次的产品架构升级,我已经重申过无数次了。"
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,2,6.9,10.9,SPEAKER_00,"市场留给我们的时间窗口,最多只剩两周。"
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,3,11.620000000000001,19.26,SPEAKER_00,"我们必须砍掉那些华而不实的人情化设计,全面向自动化和高效率妥协。"
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,4,19.86,27.54,SPEAKER_00,"你所谓的坚持情怀,在不断下滑的日活数据面前根本一文不值。"
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,5,27.54,32.94,SPEAKER_00,用户要的是好用快解决问题
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,6,32.94,37.84,SPEAKER_00,而不是对着一个功能去感悟什么设计者的灵魂
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,7,37.84,43.06,SPEAKER_00,你不要再拿那些理想主义的借口来拖延进度了
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,8,43.06,45.7,SPEAKER_00,商场就是战场
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,9,45.7,50.46,SPEAKER_00,收洗你那套多余的同情心和艺术追求吧
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,10,51.08,54.54,SPEAKER_00,下周一必须切断旧接口
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,11,54.54,58.12,SPEAKER_00,所有人必须听我指挥
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,12,58.12,59.36,SPEAKER_00,出了问题
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,13,59.36,61.14,SPEAKER_00,我一个人来扛
sample2_no_overlap,no_overlap.wav,none,diarization_asr,faster-whisper+pyannote+full_asr_align,14,61.14,64.26,SPEAKER_00,你现在必须给我闭嘴
